key	family	upstream_case	pinned_source	disposition	rust_evidence
L1-001	compose	TestCaddyExtension	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/caddy_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-002	compose	TestIsCaddyfilePath	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/caddy_test.go	tested	ployz/tests/compose.rs::classifier_keeps_the_warning_error_split_and_incomplete_boundary
L1-003	compose	TestConfigSpecsFromCompose	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/config_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-004	compose	TestConfigSpecEquals	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/config_test.go	not-ported	Rust ConfigSpec derives Eq and PartialEq directly in ployz-core/src/domain.rs.
L1-005	compose	TestClusterContext	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/context_test.go	tested	ployz/tests/compose_cli.rs::real_compose_normalizes_without_a_daemon_and_project_inputs_stay_relative
L1-006	compose	TestProcessImageTemplates_Integration	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/imagetemplate_test.go	tested	ployz/tests/compose.rs::git_image_templates_keep_explicit_references_and_show_dirty_state
L1-007	compose	TestProcessImageTemplate	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/imagetemplate_test.go	tested	ployz/tests/compose.rs::git_image_templates_keep_explicit_references_and_show_dirty_state
L1-008	compose	TestHasTag	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/imagetemplate_test.go	tested	ployz/tests/compose.rs::git_image_templates_keep_explicit_references_and_show_dirty_state
L1-009	compose	TestConvertStandardPortsToPortSpecs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/port_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-010	compose	TestConvertServicePortConfigToPortSpec	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/port_test.go	tested	ployz/tests/compose.rs::classifier_keeps_the_warning_error_split_and_incomplete_boundary
L1-011	compose	TestTransformServicesPortsExtension_MutualExclusivity	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/port_test.go	tested	ployz/tests/compose.rs::classifier_keeps_the_warning_error_split_and_incomplete_boundary
L1-012	compose	TestTransformServicesPortsExtension_StandardPorts	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/port_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
