key	declaration	pinned_source	disposition	reason
L3-001	TestClusterLifecycle/each machine reconciled cluster store	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/cluster_test.go#L71	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-002	TestClusterLifecycle/inspect	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/cluster_test.go#L111	harness-only	Exercises ucind.InspectCluster rather than product behavior.
L3-003	TestClusterLifecycle/remove	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/cluster_test.go#L123	harness-only	Exercises ucind.RemoveCluster; the Ployz testkit verifies its own teardown.
L3-004	TestComposeBuild/build and push images for a basic project	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_build_test.go#L64	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-005	TestComposeConfigs/basic configs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_configs_test.go#L26	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-006	TestComposeDeployment/basic with published ports	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L27	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-007	TestComposeDeployment/multi-service deployment with redeploy and recreate	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L75	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-008	TestComposeDeployment/multiple services with volumes	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L206	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-009	TestComposeDeployment/x-machines placement constraint	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L391	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-010	TestComposeDeployment/x-machines placement constraint with non-existing machine	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L444	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-011	TestComposeDeployment/x-machines placement constraint with comma-separated string	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L492	layer-1	Syntax-only variant; preserve its parser assertion and fixture in Layer 1.
L3-012	TestComposeDeployment/plan new deployment with volumes and recreate strategy	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L539	layer-1	Calls only the pure planner.
L3-013	TestComposeDeployment/global service auto-creates volumes on all machines	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L564	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-014	TestComposeDeployment/pre-deploy hook	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/compose_deploy_test.go#L605	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-015	TestExecBasicCommands/non-existent service	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L64	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-016	TestExecBasicCommands/echo command	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L81	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-017	TestExecBasicCommands/non-zero exit code	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L99	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-018	TestExecBasicCommands/invalid command	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L112	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-019	TestExecBasicCommands/non-existent container	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L130	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-020	TestExecBasicCommands/empty command	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L142	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-021	TestExecBasicCommands/mixed stdout/stderr	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L154	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-022	TestExecBasicCommands/detached command	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L172	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-023	TestExecBasicCommands/detached invalid command	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L194	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-024	TestExecBasicCommands/exec on specific container	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/exec_test.go#L216	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-025	TestMachineOperations/rename machine by name	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L41	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-026	TestMachineOperations/rename machine by ID	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L82	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-027	TestMachineOperations/rename non-existent machine	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L122	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-028	TestMachineOperations/rename to existing name	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L128	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-029	TestMachineOperations/rename with empty name	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L152	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-030	TestMachineOperations/service continuity after rename	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L165	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-031	TestMachineOperations/update machine name	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L229	consolidated	Covered by selected rename-by-name and rename-by-ID behavior on the same field path.
L3-032	TestMachineOperations/update machine public IP	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L257	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-033	TestMachineOperations/remove machine public IP	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L293	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-034	TestMachineOperations/update machine endpoints	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L326	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-035	TestMachineOperations/update multiple fields simultaneously	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L363	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-036	TestMachineOperations/update non-existent machine	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L403	consolidated	Covered by selected rename-nonexistent target-resolution behavior.
L3-037	TestMachineOperations/update to duplicate name	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L413	consolidated	Covered by selected rename-to-existing visible-snapshot uniqueness behavior.
L3-038	TestMachineOperations/update with empty request	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L438	internal	Raw protobuf no-op with no user operation.
